caso,data,dias_desde_estopim,fase,papel,mencoes,mencoes_dia,parcela_dia,contas,de_acusadores,de_defensores,de_neutros,n_nos,nd
arthur_do_val,2022-03-09,5,declinio,veiculo,30,1226,0.024469820554649267,3,0.5666666666666667,0.13333333333333333,0.3,837,False
arthur_do_val,2022-03-10,6,declinio,aliado_afastado,77,989,0.07785642062689585,4,0.7662337662337663,0.06493506493506493,0.16883116883116883,678,False
arthur_do_val,2022-03-10,6,declinio,aliado_do_alvo,18,989,0.01820020222446916,1,0.8333333333333334,0.0,0.16666666666666666,678,False
arthur_do_val,2022-03-10,6,declinio,alvo,336,989,0.339737108190091,1,0.6309523809523809,0.15178571428571427,0.21726190476190477,678,False
arthur_do_val,2022-03-10,6,declinio,demais,489,989,0.49443882709807885,280,0.6298568507157464,0.18813905930470348,0.18200408997955012,678,False
arthur_do_val,2022-03-10,6,declinio,instituicao_legitimadora,13,989,0.01314459049544995,2,0.6153846153846154,0.07692307692307693,0.3076923076923077,678,False
arthur_do_val,2022-03-10,6,declinio,lider_acusacao,7,989,0.007077856420626896,2,0.5714285714285714,0.14285714285714285,0.2857142857142857,678,False
arthur_do_val,2022-03-10,6,declinio,outro,16,989,0.016177957532861477,4,0.5625,0.0625,0.375,678,False
arthur_do_val,2022-03-10,6,declinio,veiculo,33,989,0.033367037411526794,3,0.5454545454545454,0.030303030303030304,0.42424242424242425,678,False
arthur_do_val,2022-03-11,7,declinio,aliado_afastado,84,1252,0.0670926517571885,4,0.6428571428571429,0.2619047619047619,0.09523809523809523,761,False
arthur_do_val,2022-03-11,7,declinio,aliado_do_alvo,38,1252,0.03035143769968051,1,0.8421052631578947,0.07894736842105263,0.07894736842105263,761,False
arthur_do_val,2022-03-11,7,declinio,alvo,340,1252,0.2715654952076677,1,0.7088235294117647,0.12352941176470589,0.1676470588235294,761,False
arthur_do_val,2022-03-11,7,declinio,demais,656,1252,0.5239616613418531,322,0.6463414634146342,0.125,0.22865853658536586,761,False
arthur_do_val,2022-03-11,7,declinio,instituicao_legitimadora,27,1252,0.02156549520766773,4,0.6666666666666666,0.14814814814814814,0.18518518518518517,761,False
arthur_do_val,2022-03-11,7,declinio,lider_acusacao,56,1252,0.04472843450479233,2,0.8928571428571429,0.0,0.10714285714285714,761,False
arthur_do_val,2022-03-11,7,declinio,outro,12,1252,0.009584664536741214,1,0.5833333333333334,0.0,0.4166666666666667,761,False
arthur_do_val,2022-03-11,7,declinio,veiculo,39,1252,0.031150159744408944,2,0.6410256410256411,0.10256410256410256,0.2564102564102564,761,False
arthur_do_val,2022-03-12,8,declinio,aliado_afastado,90,1801,0.04997223764575236,4,0.5888888888888889,0.16666666666666666,0.24444444444444444,751,False
